vid_id,tr,en
p6T3XrnYtFk_4_13@11,bir keçi yürüyor,a goat is walking
p6T3XrnYtFk_4_13@12,bir keçi yürüyor,a goat is walking
p6T3XrnYtFk_4_13@13,bir keçi yürüyor,a goat is walking
p6T3XrnYtFk_4_13@14,bir keçi yol boyunca yürür,a goat walks along a road
p6T3XrnYtFk_4_13@15,bir keçi dolaşır,a goat walks around
p6T3XrnYtFk_4_13@17,keçi yürüyor,the goat is walking
p6T3XrnYtFk_4_13@18,keçi bahçede yürüdü ve geriye baktı,the goat walked in the yard and looked backwards
p6T3XrnYtFk_4_13@19,keçi bahçede yürüdü,the goat walked in the yard
p6T3XrnYtFk_4_13@20,hareketli komik bir keçi,a funny goat moving
p6T3XrnYtFk_4_13@21,yolun ortasında bir keçi duruyor,a goat is standing in the middle of the road
p6T3XrnYtFk_4_13@22,bir keçi duruyor,a goat is standing
p6T3XrnYtFk_4_13@23,bir keçi yürüyor,a goat is walking
p6T3XrnYtFk_4_13@24,bir keçi dolaşıyor,a goat is walking around
p6T3XrnYtFk_4_13@25,bir keçi yavaş yürüyor,a goat is walking slowly
p6T3XrnYtFk_4_13@26,yolda yürürken,a got walking on the road
p6T3XrnYtFk_4_13@27,bir yolda yürürken ağır bir keçi,a heavy goat walking on a road
p6T3XrnYtFk_4_13@28,keçi çok komik geliyor,goat sounds very funny
p6T3XrnYtFk_4_13@29,bir keçi bir yere gidiyor,one goat going somewhere
p6T3XrnYtFk_4_13@30,keçi çok komik,the goat is so funny
p6T3XrnYtFk_4_13@31,komik bir keçi,a funny goat
p6T3XrnYtFk_4_13@32,bir keçi eti,a goat bleats
p6T3XrnYtFk_4_13@33,bir keçi meliyor,a goat is bleating
p6T3XrnYtFk_4_13@34,bir keçi ses çıkarıyor,a goat is making noises
p6T3XrnYtFk_4_13@35,bir keçi yürüyor ve ağlıyor,a goat is walking and bleating
p6T3XrnYtFk_4_13@36,bir keçi dışarıda yürüyor,a goat is walking outside
p6T3XrnYtFk_4_13@37,bir keçi yürüyor,a goat is walking
p6T3XrnYtFk_4_13@38,bir keçi yürüyor,a goat is walking
p6T3XrnYtFk_4_13@39,bir keçi yürüyor,a goat is walking
p6T3XrnYtFk_4_13@40,bir keçi yürüyor,a goat is walking
p6T3XrnYtFk_4_13@41,bir keçi yürüyor,a goat is walking
p6T3XrnYtFk_4_13@42,bir keçi yürüyor,a goat is walking
p6T3XrnYtFk_4_13@43,keçi duruyor,goat is standing
p6T3XrnYtFk_4_13@44,bir keçi ses çıkarıyor ve yürüyor,a goat is making noise and walking
p6T3XrnYtFk_4_13@45,keçi yürüyor,the goat is walking
p6T3XrnYtFk_4_13@46,yerde yürüyen keçi,goat walking on the ground
p6cg2jWI34M_34_42@1,üç beyaz aslan yavruları birbirlerine burnunu çekiyor,three white lion cubs sniff each other
p6cg2jWI34M_34_42@2,beyaz bir aslan yavrusu diğer iki benzer yavruyu birleştirir ve yanlarında durur,a white lion cub joins two other similar cubs and stands beside them
p6cg2jWI34M_34_42@3,hayvanlar birlikte oynuyor,animals play together
p6cg2jWI34M_34_42@4,bebek aslanlar birbirleriyle etkileşime giriyor,baby lions are interacting with each other
p6cg2jWI34M_34_42@5,aslan yavruları birbirleriyle oynuyorlar,lion cubs are playing with each other
p6cg2jWI34M_34_42@6,albino aslan yavruları birbirlerini şaşırtıyor,the albino lion cubs nuzzled each other
p6cg2jWI34M_34_42@7,albino kaplanları birbirine kafa salladı,the albino tigers nuzzled each other
p6cg2jWI34M_34_42@8,yavrular oynuyor,the cubs are playing
p6cg2jWI34M_34_42@9,üç bebek beyaz aslan oynuyor,three baby white lions are playing
p6cg2jWI34M_34_42@10,üç aslan yavrusu huzur içinde oynuyorlar,three lion cubs are playing peacefully
p6cg2jWI34M_34_42@11,üç aslan yavruları yürüyor,three lion cubs are walking
p6cg2jWI34M_34_42@12,kapının önünde üç küçük beyaz aslan dolaşıyor,three small white lions walk around in front of a door
p6cg2jWI34M_34_42@13,üç kaplan yavruları oynuyor,three tiger cubs are playing
p6cg2jWI34M_34_42@14,üç beyaz aslan yavruları oynuyor,three white lion cubs are playing
p6cg2jWI34M_34_42@15,üç beyaz aslan yavrusu birlikte,three white lion cubs are together
p6cg2jWI34M_34_42@16,beyaz aslan yavruları birbirleriyle dolaşıyor,white lion cubs are walking around each other
p6cg2jWI34M_34_42@17,beyaz kaplan yavruları bir kapının yanında duruyor,white tiger cubs are standing near a door
p6cg2jWI34M_34_42@18,bir aslan iki yastığını birbirleriyle oynuyor,playing the two pillows of a lion to each other
p6cg2jWI34M_34_42@19,aslan yavruları yerde yatıyor,the lion cubs are lying in the ground
p6cg2jWI34M_34_42@20,üç çocuk aslan birbirleriyle oynuyorlar,three kid lions are playing with each other
p6cg2jWI34M_34_42@21,üç beyaz aslan yavruları birlikte oynuyor,three white lion cubs play together
p6cg2jWI34M_34_42@22,kaplan yavruları oynuyor,tiger cubs are playing
p6cg2jWI34M_34_42@23,iki yavru kumda uzanıyor,two cubs are lying in the sand
p6cg2jWI34M_34_42@24,uğraşırken iki aslan yavruları,two lion cubs playing around
p6cg2jWI34M_34_42@25,bir grup beyaz aslan yavruları birbirleriyle oynuyorlar,a group of white lion cubs are playing with each other
p6cg2jWI34M_34_42@26,bir adam beyaz aslan yavrularını yetiştiriyor,a man is breeding white lion cubs
p6cg2jWI34M_34_42@28,oynayan aslan,a playing lion
p6cg2jWI34M_34_42@29,tüm aslan yavruları birlikte oynuyorlar,all lion cubs are playing together
p6cg2jWI34M_34_42@30,sevimli aslanlar oynuyorlar,cute lions are playing
p6cg2jWI34M_34_42@31,eğitmenleri ile aslan yavruları,lion cubs with their trainer
p6cg2jWI34M_34_42@32,aslanlar oynuyor,lions are playing
p6cg2jWI34M_34_42@33,üç yavru birbirini araştırıyor,three cubs investigate each other
p6cg2jWI34M_34_42@34,üç sevimli beyaz aslan yavruları birlikte oynuyorlar,three cute white lion cubs are playing togeather
p6cg2jWI34M_34_42@35,üç aslan kulübü oynuyor,three lion clubs are playing
p6cg2jWI34M_34_42@36,hayvanat bahçesinde oynayan üç beyaz yavru,three white cubs playing in a zoo
p6cg2jWI34M_34_42@37,üç beyaz aslan yavrusu toplanıyor,three white lion cubs are gathering together
p6cg2jWI34M_34_42@38,üç beyaz aslan yavruları toplanıyor,three white lion cubs are huddling together
p6cg2jWI34M_34_42@39,üç beyaz aslan yavrusu hareket etmeye başladı,three white lion cubs are just starting to move around
p6cg2jWI34M_34_42@40,üç beyaz aslan yavruları dolaşıyor,three white lion cubs are walking around
p6cg2jWI34M_34_42@41,üç beyaz aslan yavruları açık kapıdan hareket ediyor,three white lion cubs move about an outdoor doorway
p6cg2jWI34M_34_42@42,üç beyaz aslan yavruları birbirleriyle oynuyor,three white lion cubs play with each other
p6cg2jWI34M_34_42@43,evin kapısının önünde oynayan üç beyaz aslan yavruları,three white lion cubs playing in front of a house door
p6cg2jWI34M_34_42@44,üç beyaz aslan yavruları,three white lion cubs
p6cg2jWI34M_34_42@45,beyaz aslanlar birlikte oynuyorlar,white lions are playing together
p6cg2jWI34M_34_42@46,beyaz aslanlar merak ediyor,white lions are wondering
p6cg2jWI34M_34_42@47,kaplan oynuyor,a tiger is playing
p6cg2jWI34M_34_42@48,üç küçük beyaz kaplan bebeklerle birlikte oturuyor,three small white tiger babies are sitting togather
p6cg2jWI34M_34_42@49,sevimli beyaz aslan yavruları ıslah programının bir parçası,cute white lion cubs form part of breeding programme
p6cg2jWI34M_34_42@50,üç aslan yavrusu oynuyorlardı,three lion cubs were playing
p7IAuvd87hQ_12_19@1,bir at arabası üç kız çekiyor,a horse is pulling three girls on a cart
p7IAuvd87hQ_12_19@2,siyah bir at bir kadının ve iki kızın oturduğu bir arabayı çekerek patikada koşuyor,a black horse is trotting on a pathway pulling a cart on which a woman and two girls are seated
p7IAuvd87hQ_12_19@3,bir at arabası çekiyor,a horse is pulling a cart
p7IAuvd87hQ_12_19@4,bir at bir arabası üç kişi çekiyor,a horse is pulling three people in a cart
p7IAuvd87hQ_12_19@5,bir at bir aile taşıyor,a horse is transporting a family
p7IAuvd87hQ_12_19@6,bir kadın ve iki kız ata biniyor,a woman and two girls are taking a horse cart ride
p7IAuvd87hQ_12_19@7,kızlar ata biniyor,girls are riding a horse cart
p7IAuvd87hQ_12_19@8,kızlar ata biniyor,girls are riding in a horse carriage
p7IAuvd87hQ_12_19@9,küçük kızlar atlı arabaya biniyor,the little girls rode in a horsedrawn carriage
p7IAuvd87hQ_12_19@10,iki kız ata biniyor,the two girls rode a horsedrawn cart
p7IAuvd87hQ_12_19@11,kadın ve kız at arabasıyla taşınıyor,the woman and girl are in a horse drawn carriage
p7IAuvd87hQ_12_19@12,üç çocuk at arabasında seyahat ediyor,three children are traveling in a horse cart
p7IAuvd87hQ_12_19@13,at arabasıyla üç kadın gezerek gidiyor,three females go on a horse cart ride
p7IAuvd87hQ_12_19@14,üç kadın bir at arabasına biniyor,three females ride in a horse drawn cart
p7IAuvd87hQ_12_19@15,üç kız bir at arabasına biniyor,three girls are riding in a horsedrawn cart
p7IAuvd87hQ_12_19@16,üç kişi at tarafından arabasını çekti,three people are on a cart being pulled by a horse
p7IAuvd87hQ_12_19@17,üç kişi ata biniyor,three people are riding a horse and cart
p7IAuvd87hQ_12_19@18,üç kadın bir at tarafından çekilen arabasına biniyor,three woman are riding in a cart pulled by a horse
p7IAuvd87hQ_12_19@19,at ile oynayan çocuklar,children playing with horse
p7IAuvd87hQ_12_19@20,at arabası yolculuğu,horse cart ride
p7IAuvd87hQ_12_19@21,insanlar bir at arabası binmiş,people are riding a horse drawn cart
p7IAuvd87hQ_12_19@22,bazı kızlar at arabası sürüyor,some girls horse cart riding
p7IAuvd87hQ_12_19@23,kızlar at arabasına biniyor,the girls are riding in the horse cart
p7IAuvd87hQ_12_19@24,üç çocuk at arabası üzerinde sürüyor,three children are riding on a horse cart
p7IAuvd87hQ_12_19@25,üç kız at arabasına biniyor,three girls are riding in the horse cart
p7IAuvd87hQ_12_19@26,üç kız bir at tarafından çekti arabasına biniyor,three girls are riding on a cart pulled by a horse
p7IAuvd87hQ_12_19@27,üç kız ata biniyordu,tjree girls were enjoying horse ride
p7IAuvd87hQ_12_19@28,bir at arabası gezintiye çıkan iki küçük kız,two little girls for a ride in a horse cart
p7IAuvd87hQ_12_19@29,3 kız at arabası sürmeye gidiyor,3 girls going on horse cart ride
p7IAuvd87hQ_12_19@30,3 kişi at arabasına biniyor,3 people ride in a horse cart
p7IAuvd87hQ_12_19@31,iki tekerlekli taşıyıcıya binen bir aile,a family riding a horse on a two wheel carrier
p7IAuvd87hQ_12_19@32,bir at içinde üç kişi bulunan bir araba çeker,a horse draws a carriage with three people in it
p7IAuvd87hQ_12_19@33,bir at çocukları çekiyor,a horse is pulling kids
p7IAuvd87hQ_12_19@34,bir at bir arabadaki üç kişi çekiyor,a horse is pulling three people in a cart
p7IAuvd87hQ_12_19@35,bir at bir sepet içinde üç kişi çeker,a horse pulls around three people in a cart
p7IAuvd87hQ_12_19@36,bir at çocuk arabasını çeker,a horse pulls children in a cart
p7IAuvd87hQ_12_19@37,binicilik,a horse riding
p7IAuvd87hQ_12_19@38,bir bayan ve çocuklar at arabasında seyahat ediyor,a lady and children are travel in the horse cart
p7IAuvd87hQ_12_19@39,bir kadın ve bir arabadaki iki çocuk bir at tarafından çekiliyor,a woman and two children in a carriage are being pulled by a horse
p7IAuvd87hQ_12_19@40,kızlar bir at arabası sürüyor,girls are riding in a horse buggy
p7IAuvd87hQ_12_19@41,kızlar at arabasına biniyor,girls are riding in a horse cart
p7IAuvd87hQ_12_19@42,kızlar biniyor,girls are riding
p7IAuvd87hQ_12_19@43,bahçede bir at arabası gezintisinde zevk alan kızlar,girls enjoying a ride on a horse cart in a garden
p7IAuvd87hQ_12_19@44,at arabası kızlar tarafından sürülür,horse cart is driven by girls
p7IAuvd87hQ_12_19@45,insanlar bir at arabası çekilirken biniyor,people ride in a horse drawn cart
p7IAuvd87hQ_12_19@46,at arabasıyla insanlar çekiliyor,people riding in a horsedrawn cart
p7IAuvd87hQ_12_19@47,bazı çocuklar ata biniyor,some children are riding on a horse cart
p7IAuvd87hQ_12_19@48,bazı kızlar at arabası sürüyor,some girls horse cart riding
p7IAuvd87hQ_12_19@49,süper at arabası yolculuğu,super horse cart ride
p7IAuvd87hQ_12_19@50,kızlar arabayla gidiyor,the girls are going in cart
p7IAuvd87hQ_12_19@51,kızlar atlı arabaya biniyorlar,the girls are riding in a horsedrawn carriage
p7IAuvd87hQ_12_19@52,üç kız bir at tarafından çekilen bir arabaya biniyor,three girls are riding in a cart pulled by a horse
p7IAuvd87hQ_12_19@53,renkli elbiseler içinde üç kız at arabası sürüyor,three girls in colorful dresses riding in a horse drawn cart
p7IAuvd87hQ_12_19@54,üç kız ata biniyordu,three girls were going horse ride
p7IAuvd87hQ_12_19@55,üç kişi bir at tarafından çekilen bir araba sürüyor,three people are riding a cart being pulled by a horse
p7IAuvd87hQ_12_19@56,üç kişi bir at tarafından çekilen arabasına biniyor,three people are riding in a cart pulled by a horse
p7IAuvd87hQ_12_19@57,üç kadın bir at arabasıyla gidiyor,three woman are going on a horse cart
p7IAuvd87hQ_12_19@58,üç kadın ata biniyor,three women are riding a horse carriage
p7IAuvd87hQ_12_19@59,at arabası üzerinde kızlar,girls on horse cart
p9g06ktIkJg_4_11@1,birçok rakun görünümlü hayvan bir grupta toplanır,many raccoon looking animals are huddled in a group
p9g06ktIkJg_4_11@2,lemurlar birbirini tutuyor,lemurs are holding each other in a line
p9g06ktIkJg_4_11@3,lemur üst üste birbirlerine sarılıyorlar,lemurs are hugging each other in a row
p9g06ktIkJg_4_11@4,birkaç tüylü çizgili kuyruk hayvanı dar bir grupta toplanır,a number of furry striped tail animals are huddled together in a tight group
p9g06ktIkJg_4_11@5,bir grup lemur birlikte oturuyor,a group of lemurs are sitting together
p9g06ktIkJg_4_11@6,çit domuzları güneş banyosu alıyor,hedge hogs are taking sun bath
p9g06ktIkJg_4_11@7,bazı lemurlar birbirine çok yakın oturuyorlar,some lemurs are sitting very close to each other
p9g06ktIkJg_4_11@8,garip yaratıklar toplanıyor,weird creatures are gathering
p9g06ktIkJg_4_11@9,hayvanlar birlikte yatıyor,animals are laying together
p9g06ktIkJg_4_11@10,birkaç tüylü hayvan birarada toplanır,several furry animals are huddled together
p9g06ktIkJg_4_11@11,hayvanlar bir araya toplanmış,the animals huddled together
p9g06ktIkJg_4_11@12,lemurların hepsi birbirine sarılmış,the lemurs are all cuddled together
p9g06ktIkJg_4_11@13,birkaç lemur toplanıyor,several lemurs are huddling together
p9g06ktIkJg_4_11@14,birçok lemur birlikte kıvrılır,lots of lemurs are curled up together
p9g06ktIkJg_4_11@15,hayvanlar bir araya toplandı,the animals all huddled together
p9g06ktIkJg_4_11@16,bir sürü hayvan birlikte yatıyor,a bunch of animals are laying together
p9g06ktIkJg_4_11@17,hayvanlar oynuyor,animals are playing
p9g06ktIkJg_4_11@18,bir yerde birçok hayvan,many animals at one place
p9g06ktIkJg_4_11@19,bazı lemurlar bir grupta oturuyor,some lemurs are sitting in a group
p9g06ktIkJg_4_11@20,hayvanlar güneşe çıkıyor,the animals are comes out for the sun
p9g06ktIkJg_4_11@21,kediler gerisini alıyor,the cats are taking the rest
p9g06ktIkJg_4_11@22,lemurların hepsi birbirine sarıldı,the lemurs are all huddled together
p9g06ktIkJg_4_11@23,pandalar oynuyorlar,pandas are playing
pDvzOLRLjPc_0_8@1,bir kişi iki bebek panda besliyor,a person is feeding two baby pandas
pDvzOLRLjPc_0_8@2,bir bayan iki bebek panda süt şişesi veriyor,a lady is giving two baby pandas milk bottles
pDvzOLRLjPc_0_8@3,bir adam pandalara şişede süt içiriyor,a man is drinking bottlesmilk to pandas
pDvzOLRLjPc_0_8@4,bir kişi bir şişeyle bebek pandaları besler,a person feeds baby pandas with a bottle
pDvzOLRLjPc_0_8@5,bir adam panda bebeklere süt şişeleri veriyor,a man is giving milk bottles to panda babies
pDvzOLRLjPc_0_8@6,bir kişi bebek pandalara süt şişeleri veriyor,a person is giving baby pandas bottles of milk
pDvzOLRLjPc_0_8@7,bir kişi bebek pandalara süt şişesi veriyor,a person is giving bottles of milk to baby pandas
pDvzOLRLjPc_0_8@8,bir kişi iki panda ayısına süt şişesi verir,a person gives two panda bears bottles of milk
pDvzOLRLjPc_0_8@9,bir adam bir bebek panda besliyor,a man is feeding a baby panda
pDvzOLRLjPc_0_8@10,panda ayıları yiyor,panda bears are eating
pDvzOLRLjPc_0_8@11,iki panda bir şişeden süt içiyor,two pandas are drinking milk from a bottle
pDvzOLRLjPc_0_8@12,bir erkek bireysel biberonlarda sütü bir kafeste iki pandaya verir,a man gives milk in individual feeding bottles to two pandas in a cage
pDvzOLRLjPc_0_8@13,bakıcı şişelerle iki pandayı besledi,the keeper fed bottles to the two pandas
pDvzOLRLjPc_0_8@14,pandalar biberonlarla besleniyor,the pandas are being fed with baby bottles
pDvzOLRLjPc_0_8@15,bir erkek bebek pandaları besler,a man feeds some baby pandas
pDvzOLRLjPc_0_8@16,veteriner pandaları şişelerle besledi,the veterinarian fed the pandas their bottles
pDvzOLRLjPc_0_8@17,birisi bebek pandaya süt verir,a person is give milk to baby panda
pDvzOLRLjPc_0_8@18,kişi bir şeyler yapıyor,the person is doing the somthing
pDvzOLRLjPc_0_8@19,bir insan iki panda besliyor,a person is feeding two pandas
pDvzOLRLjPc_0_8@20,iki bebek pandalar bir kafeste süt besliyor,two baby panda s being fed milk in a cage
pDvzOLRLjPc_0_8@21,bir kişi bir pandayı biberonla besliyor,a person is bottle feeding a panda
pDvzOLRLjPc_0_8@22,kişi pandaya süt veriyor,the person is giving milk to panda
pDvzOLRLjPc_0_8@23,süt içen bebek panda,baby panda drinking milk
pDvzOLRLjPc_0_8@24,bir kadın iki panda besliyor,a woman is feeding two pandas
pDvzOLRLjPc_0_8@25,iki panda süt içiyor,two pandas are drinking milk
pDvzOLRLjPc_0_8@26,iki bebek panda süt şişesi alıyor,two baby panda s are getting milk bottles
pDvzOLRLjPc_0_8@27,bir adam biberonda iki pandaya süt veriyor,a man is giving milk to two pandas in a feeding bottle
pDvzOLRLjPc_0_8@28,pandaşlar yiyor,panda s are eating
pDvzOLRLjPc_0_8@29,bebek pandayı süt besleyen bir adam,a man feeding milk to baby panda
pDvzOLRLjPc_0_8@30,bir adam pandaları besliyor,a man is feeding pandas
pDvzOLRLjPc_0_8@31,iki bebek panda şişeleri ile süt içiyor,two baby pandas drinking milk with bottles
pDvzOLRLjPc_0_8@32,bir kadın sütü bebek ayılarına besler,a women feed the milk to baby bears
pDvzOLRLjPc_0_8@33,panda bebekler oynuyorlar,panda babies are playing
pDvzOLRLjPc_0_8@34,veteriner pandaları besliyor,the vet is feeding the pandas
pDvzOLRLjPc_0_8@35,iki panda süt içiyor,two pandas are drinking milk
pDvzOLRLjPc_0_8@36,bebek panda için süt zamanı,baby panda milk time
pDvzOLRLjPc_0_8@37,bebek panda için süt zamanı,baby panda milk time
pDvzOLRLjPc_0_8@38,bir erkek bebek panda besleniyor,a man is feeding the baby panda
pDvzOLRLjPc_0_8@39,panda yavruları biberonlardan içiyor,panda cubs drink from baby bottles
pFSoWsocv0g_8_17@1,bir köpek ve bir köpek yavrusu birbirleriyle oynuyorlar,a dog and a puppy are playing with each other
pFSoWsocv0g_8_17@2,bir köpek ve köpek yavrusu oynuyor,a dog and puppy are playing
pFSoWsocv0g_8_17@3,beyaz bir köpek ve daha küçük kahverengi bir köpek birbiriyle kavga ediyor,a white dog and a smaller brown dog are fighting with each other
pFSoWsocv0g_8_17@4,köpek yatakta köpekle oynadı,the dog played with the puppy on the bed
pFSoWsocv0g_8_17@5,köpekler birbirleriyle oynuyorlar,the dogs are playing with each other
pFSoWsocv0g_8_17@6,iki yavru birlikte oynadı,the two puppies played together
pFSoWsocv0g_8_17@7,iki köpek kanepede birbirleriyle oynuyorlar,two dogs are playing with each other on a couch
pFSoWsocv0g_8_17@11,iki köpek birbirleriyle oynuyorlar,two dogs are playing with eachother
pFSoWsocv0g_8_17@13,iki köpek birbirleriyle oynuyor,two dogs play with each other
pFSoWsocv0g_8_17@19,iki yavru birbirleriyle mücadele ediyor,two puppies tussle with each other
pFSoWsocv0g_8_17@20,iki küçük köpek birlikte oynuyorlar,two small dogs are playing together
pFSoWsocv0g_8_17@21,sandalyede oynayan bir köpek ve köpek yavrusu,a dog and puppy playing on the chair
pFSoWsocv0g_8_17@22,köpekler oynuyor,the dogs are playing
pFSoWsocv0g_8_17@23,iki yavru havlıyor,two puppies are barking
pFSoWsocv0g_8_17@28,iki köpek oynuyorlar,two dogs were playing
pFSoWsocv0g_8_17@29,iki köpek bir yatakta oynuyor,two dogs are playing on a bed
pFSoWsocv0g_8_17@32,2 büyük köpek küçük olanı korkutmaya çalışan köpek oynuyor,2 dog are playing out of which bigger one is trying to scare the smaller one
pFSoWsocv0g_8_17@34,bir köpek yavrusu bir köpekle oynuyor,a puppy is playing with a dog
pFSoWsocv0g_8_17@35,köpeklere koşan ev,to dogs is the runing house
pFSoWsocv0g_8_17@36,sevimli köpekler kavga ediyor,cute dogs fighting
pFSoWsocv0g_8_17@37,birbirleriyle oynayan iki köpek yavrusu,two puppy playing to each other
pFSoWsocv0g_8_17@38,köpek yatakta köpekle oynadı,the dog played with the puppy on the bed
pFSoWsocv0g_8_17@40,iki köpeği toplamak için mücadele ediyoruz,two dogs are fighting to gather
pFSoWsocv0g_8_17@41,bob marty kısa filmi,bob marty short film
pFSoWsocv0g_8_17@42,yavrular oynuyor,the puppies are playing
pGCRurvXQGM_45_56@1,bir scooter süren bir adam yok oluyor,a guy riding a scooter wipes out
pGCRurvXQGM_45_56@2,bir çocuk onun scooter üzerinde yok oluyor,a kid wrecks on his scooter
pGCRurvXQGM_45_56@3,bir adam onun motorlu scooterla kaza yapar,a man crashes his motor scooter
pGCRurvXQGM_45_56@4,bir scooter sürerken bir adam düşüyor,a man falls when riding a scooter
pGCRurvXQGM_45_56@5,bir adam bir scooterka kayarken düşüyor,a man is falling off a skatescooter
pGCRurvXQGM_45_56@6,bir adam onun scooterı ile oluk içine düşüyor,a man is falling off his scooter and into the gutter
pGCRurvXQGM_45_56@7,bir adam bir elektrikli kullanıyor ve düşüyor,a man is riding a razor scooter and he falls over
pGCRurvXQGM_45_56@9,yolda bir scooter süren bir adam dengesini kaybeder ve düşüyor,a man riding a scooter on the road loses balance and falls off it
pGCRurvXQGM_45_56@10,süren ve bir elektrikli scooter üzerinden düşen bir adam,a man riding and falling on a power scooter
pGCRurvXQGM_45_56@11,adam onun scooterından düştü,the man fell off his scooter
pGCRurvXQGM_45_56@12,adam onun scooterından düştü,the man fell off his scooter
pGCRurvXQGM_45_56@13,bir çocuk bisikletini sürüyor ama düştü,a boy is cycling his bicycle but he crashed
pGCRurvXQGM_45_56@14,bir erkek bir yere koşuyor,a guy is rushing to somewhere
pGCRurvXQGM_45_56@15,bir kişi onun scooterını kullanıyor ve kaza yaptı,a person is driving his scooter and he crashed
pGCRurvXQGM_45_56@16,bu eğlenceli görünüyor,that seem like fun
pGCRurvXQGM_45_56@17,mega gewehr şehir merkezine gidiyor,megagewehr going down town
pGCRurvXQGM_45_56@18,bir erkek bir bisiklete biniyor ve canını yakıyor,a boy fells and gets hurt while riding a cycle
pGCRurvXQGM_45_56@19,bir adam scooterıyla kaza yapar,a man crashes his kick scooter
pGCRurvXQGM_45_56@20,yolda düşmüş bir adam,a man fallen down on the road
pGCRurvXQGM_45_56@21,bir scooterdan düşen bir adam,a man falling off a scooter
pGCRurvXQGM_45_56@22,bir adam bir bisikletten aşağı düşüyor,a man falls down a cycle
pGCRurvXQGM_45_56@23,bir adam bir scooter sürme sırasında düşüyor,a man falls off from a scooter while riding it
pGCRurvXQGM_45_56@24,bir adam onun scooterından düşüyor ve sokağa isabet ediyor,a man falls off his scooter and hits the street
pGCRurvXQGM_45_56@25,bir adam onun scooterından düşüyor,a man falls off his scooter
pGCRurvXQGM_45_56@26,bir adam bir scooter sürme sırasında düşüyor,a man falls while riding a scooter
pGCRurvXQGM_45_56@27,bir adam onun scooterından düştü,a man fell off his scooter
pGCRurvXQGM_45_56@28,bir erkek bir kaza geçiriyor,a man have an accedent
pGCRurvXQGM_45_56@29,bir adam patenden düşüyor,a man is falling down in the skating
pGCRurvXQGM_45_56@30,bir adam bir scooterdan düşüyor,a man is falling from a scooter
pGCRurvXQGM_45_56@31,bir adam sokakta düşüyor bir scooter üzerinde gidiyor,a man is going down the street on a scooter he falls
pGCRurvXQGM_45_56@32,bir adam bir yol boyunca minyatür bir scooter sürüyor,a man is riding a miniature scooter along a road
pGCRurvXQGM_45_56@33,bir adam bir scooter sürüyor ve düşüyor,a man is riding a scooter and falls off
pGCRurvXQGM_45_56@34,bir adam bir scooter üzerinde hız yapıyor ve yere sert düşüyor,a man is speeding on a scooter and falls hard on the ground
pGCRurvXQGM_45_56@35,bir scooter üzerinde bir adam kaza yapıyor,a man on a scooter crashes
pGCRurvXQGM_45_56@36,bisiklete binen ve yolda düşen bir adam,a man riding a cycle and falling on the road
pGCRurvXQGM_45_56@37,caddeden aşağı bir scooter süren bir adam düşüyor,a man riding a scooter down the street falls
pGCRurvXQGM_45_56@38,bir adam geziyor,a man trips
pGCRurvXQGM_45_56@39,bir armatür scooter panosundan düşüyor,an amature scater is falling from the scate board
pGCRurvXQGM_45_56@40,adam scooter dan düştü,the man fell from the scooter
pGCRurvXQGM_45_56@41,adam onun scooterdan düştü,the man fell off his scooter
pGCRurvXQGM_45_56@42,adam onun scooterından düştü,the man fell off his scooter
pGsU4FekJQM_10_18@1,bir köpek yuvarlandı,a dog is staying rolled over
pGsU4FekJQM_10_18@2,bir köpek sırtında yatıyor,a dog is laying on his back
pGsU4FekJQM_10_18@3,bir köpek sırtında yatıyor,a dog is laying on its back
pGsU4FekJQM_10_18@4,bir köpek yere atlıyor,a dog is laying on the floor
pGsU4FekJQM_10_18@5,bir köpek yerde sırtında yatıyor,a dog is lying on its back on the floor
pGsU4FekJQM_10_18@6,bir köpek sırtında yatıyor,a dog is lying on its back
pGsU4FekJQM_10_18@7,köpek sırtında yerde yatıyor,a dog is lying on the floor on its back
pGsU4FekJQM_10_18@8,bir köpek yere yuvarlanıyor,a dog is rolling over the floor
pGsU4FekJQM_10_18@9,bir köpek bir yerde uyuyor,a dog is sleeping on a floor
pGsU4FekJQM_10_18@10,ahşap zemin üzerinde bir köpek sırtında yatıyor,a dog lies on his back on a wooden floor
pGsU4FekJQM_10_18@11,bir köpek sırtında yatıyor,a dog lies on its back
pGsU4FekJQM_10_18@12,bir kadın yerde sırtında yatarken beyaz bir köpek talimat veriyor,a woman is instructing a white dog which is lying on its back on the floor
pGsU4FekJQM_10_18@13,köpek yere uzanmış,the dog is lying down on the floor
pGsU4FekJQM_10_18@14,köpek sırt üstü yatıyor,the dog is lying on his back
pGsU4FekJQM_10_18@15,bir gözünde siyah bir yama ile beyaz bir köpek,a white dog with a black patch on one eye
pGsU4FekJQM_10_18@16,bir köpek bir odada yerde yatıyor,a dog is lading on a room ground
pGsU4FekJQM_10_18@17,bir köpek yerde yatıyor,a dog is lying in the floor
pGsU4FekJQM_10_18@18,sahibinin kendisine söylediği hiçbir şeyi dinlemeyen yamalı bir jack russell köpeği,a jack russell dog named patchy who wo nt listen to anything his owner tells him
pGsU4FekJQM_10_18@19,bir jack russell yerde yatarken,a jack russell is lying on the ground
pGsU4FekJQM_10_18@20,bir köpek yavrusu oynuyor,a pyppy is playing
pGsU4FekJQM_10_18@21,köpekler uyurken uyanıyor,dogs wake up while sleeping
